PlayerKey,TeamCode,Extras,TotalRuns,Balls,Dotballs,DBPercent,DBFreq,BdryFreq,BdryPercent,RPSS,ScoringBalls,Outs,NotOuts,BattingAveragesss,FiftyPlusRuns,Centuries,DoubleCenturies,HighestScore,BattingAverage,Catches,Stumpings,Ones_Bat,Twos_Bat,Threes_Bat,Fours_Bat,Sixes_Bat,Innings_Bat,StrikeRate_Bat,LegalBallsBowled,TotalRunsConceded,DotBallsBowled,DotBallPercent,ScoringBallsBowled,BowlingAverage,BowlingSR,BoundaryPercentage,BoundaryFrequency,EconomyRate,OversBowled,Wides,NoBalls,Byes,LegBye,Wickets,InningsRuns,InningsWickets,MatchRuns,MatchWickets,BBIW,BBMW,Maidens,MaidenWickets,FourWickets,FiveWickets,TenWickets,Ones_Bowl,Twos_Bowl,Threes_Bowl,Fours_Bowl,Sixes_Bowl,Innings_Bowl,StrikeRate_Bowl,Speciality,Role,Credit_Point,Matches,RightHandedBat
abishekporel,DC,4.0,265.0,177.0,48.0,27.11,3.68,4.91,61.13,2.05,129.0,10.0,1.0,265.0,1.0,0.0,0.0,51,26.50,2.0,0.0,83.0,10.0,0.0,27.0,9.0,11.0,149.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WK,7.5,11.0,False
akashmadhwal,RR,0.0,4.0,9.0,5.0,55.55,1.8,0.0,0.0,1.0,4.0,0.0,1.0,4.0,0.0,0.0,0.0,4*,-,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,44.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOWL,6.0,2.0,True
anshulkamboj,CSK,1.0,9.0,9.0,5.0,55.55,1.8,9.0,44.44,2.25,4.0,2.0,2.0,4.5,0.0,0.0,0.0,4*,4.50,0.0,0.0,1.0,2.0,0.0,1.0,0.0,4.0,100.0,96.0,138.0,39.0,40.62,58.0,34.5,24.0,69.56,4.57,8.62,16.0,0.0,1.0,0.0,1.0,4.0,16.0,1.0,16.0,1.0,16/1,16/1,0.0,0.0,0.0,0.0,0.0,31.0,5.0,0.0,15.0,6.0,6.0,24.0,right arm medium,BOWL,6.5,6.0,True
ashutoshsharma,DC,15.0,186.0,111.0,31.0,27.92,3.58,4.44,66.66,2.32,80.0,6.0,2.0,93.0,1.0,0.0,0.0,66*,31.00,2.0,0.0,48.0,7.0,0.0,13.0,12.0,8.0,167.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAT,7.0,10.0,True
ashwanikumar,MI,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.0,133.0,22.0,30.55,54.0,16.62,9.0,70.67,3.78,11.08,12.0,3.0,1.0,0.0,1.0,8.0,24.0,4.0,24.0,4.0,24/4,24/4,0.0,0.0,1.0,0.0,0.0,27.0,4.0,0.0,10.0,9.0,4.0,9.0,Left-arm medium,BOWL,6.5,4.0,False
axarpatel,DC,5.0,238.0,151.0,50.0,33.11,3.02,4.31,70.58,2.35,101.0,9.0,1.0,238.0,0.0,0.0,0.0,43,26.44,4.0,0.0,62.0,4.0,0.0,21.0,14.0,10.0,157.61,186.0,253.0,60.0,32.25,129.0,50.6,37.2,58.49,6.0,8.16,31.0,3.0,0.0,1.0,0.0,5.0,19.0,2.0,19.0,2.0,19/2,19/2,0.0,0.0,0.0,0.0,0.0,88.0,7.0,0.0,19.0,12.0,10.0,37.2,Slow left-arm orthodox,AR,8.5,11.0,False
ayushmhatre,CSK,3.0,163.0,90.0,26.0,28.88,3.46,3.33,74.84,2.54,64.0,5.0,0.0,,1.0,0.0,0.0,94,32.60,3.0,0.0,33.0,4.0,0.0,20.0,7.0,5.0,181.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAT,7.0,5.0,True
corbinbosch,MI,0.0,47.0,32.0,12.0,37.5,2.66,5.33,63.82,2.35,20.0,2.0,0.0,,0.0,0.0,0.0,27,23.50,2.0,0.0,11.0,3.0,0.0,3.0,3.0,2.0,146.87,42.0,55.0,24.0,57.14,21.0,55.0,42.0,72.72,5.25,7.85,7.0,3.0,0.0,0.0,1.0,1.0,26.0,1.0,26.0,1.0,26/1,26/1,0.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,4.0,4.0,2.0,42.0,Right-arm fast medium,AR,6.5,2.0,True
deepakchahar,MI,1.0,37.0,25.0,9.0,36.0,2.77,5.0,64.86,2.31,16.0,1.0,3.0,12.33,0.0,0.0,0.0,28*,37.00,2.0,0.0,9.0,2.0,0.0,3.0,2.0,4.0,148.0,210.0,326.0,90.0,42.85,136.0,32.6,21.0,66.25,4.37,9.31,35.0,14.0,2.0,0.0,2.0,10.0,12.0,2.0,12.0,2.0,12/2,12/2,0.0,0.0,0.0,0.0,0.0,59.0,13.0,1.0,36.0,12.0,12.0,21.0,Right-arm medium,BOWL,7.5,12.0,True
devonconway,CSK,13.0,94.0,76.0,26.0,34.21,2.92,6.9,51.06,1.88,50.0,4.0,0.0,,1.0,0.0,0.0,69,23.50,2.0,0.0,32.0,7.0,0.0,9.0,2.0,4.0,123.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WK,6.5,4.0,False
